region_id,state,district,latitude,longitude,date,rainfall_mm,temperature_c,source_mode
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260309,0.0,22.56,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260310,0.0,22.41,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260311,0.0,22.86,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260312,0.0,23.32,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260313,0.0,22.18,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260314,0.0,22.35,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260315,0.97,19.81,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260316,0.29,19.89,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260317,0.0,19.8,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260318,0.02,20.87,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260319,1.49,17.75,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260320,28.13,12.78,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260321,1.02,16.46,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260322,0.0,18.79,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260323,0.06,19.81,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260324,0.0,20.02,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260325,0.0,21.16,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260326,0.0,23.0,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260327,0.13,22.52,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260328,0.0,22.14,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260329,0.02,23.45,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260330,0.2,23.95,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260331,0.16,24.69,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260401,0.0,23.7,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260402,0.0,24.76,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260403,0.91,25.07,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260404,1.05,21.61,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260405,1.12,21.06,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260406,0.29,21.09,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260407,0.59,21.35,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260408,-999.0,-999.0,downloaded
